Data,Ano,Mes,NumeroMes,MesAno,Trimestre,Semana,Dia,DiaSemana,NomeDiaSemana,DiaUtil,FimSemana,InicioMes,FimMes
2025-01-01,2025,Janeiro,1,2025-01,Q1,1,1,2,Quarta,True,False,True,False
2025-01-02,2025,Janeiro,1,2025-01,Q1,1,2,3,Quinta,True,False,False,False
2025-01-03,2025,Janeiro,1,2025-01,Q1,1,3,4,Sexta,True,False,False,False
2025-01-04,2025,Janeiro,1,2025-01,Q1,1,4,5,Sábado,False,True,False,False
2025-01-05,2025,Janeiro,1,2025-01,Q1,1,5,6,Domingo,False,True,False,False
2025-01-06,2025,Janeiro,1,2025-01,Q1,2,6,0,Segunda,True,False,False,False
2025-01-07,2025,Janeiro,1,2025-01,Q1,2,7,1,Terça,True,False,False,False
2025-01-08,2025,Janeiro,1,2025-01,Q1,2,8,2,Quarta,True,False,False,False
2025-01-09,2025,Janeiro,1,2025-01,Q1,2,9,3,Quinta,True,False,False,False
2025-01-10,2025,Janeiro,1,2025-01,Q1,2,10,4,Sexta,True,False,False,False
2025-01-11,2025,Janeiro,1,2025-01,Q1,2,11,5,Sábado,False,True,False,False
2025-01-12,2025,Janeiro,1,2025-01,Q1,2,12,6,Domingo,False,True,False,False
2025-01-13,2025,Janeiro,1,2025-01,Q1,3,13,0,Segunda,True,False,False,False
2025-01-14,2025,Janeiro,1,2025-01,Q1,3,14,1,Terça,True,False,False,False
2025-01-15,2025,Janeiro,1,2025-01,Q1,3,15,2,Quarta,True,False,False,False
2025-01-16,2025,Janeiro,1,2025-01,Q1,3,16,3,Quinta,True,False,False,False
2025-01-17,2025,Janeiro,1,2025-01,Q1,3,17,4,Sexta,True,False,False,False
2025-01-18,2025,Janeiro,1,2025-01,Q1,3,18,5,Sábado,False,True,False,False
2025-01-19,2025,Janeiro,1,2025-01,Q1,3,19,6,Domingo,False,True,False,False
2025-01-20,2025,Janeiro,1,2025-01,Q1,4,20,0,Segunda,True,False,False,False
2025-01-21,2025,Janeiro,1,2025-01,Q1,4,21,1,Terça,True,False,False,False
2025-01-22,2025,Janeiro,1,2025-01,Q1,4,22,2,Quarta,True,False,False,False
2025-01-23,2025,Janeiro,1,2025-01,Q1,4,23,3,Quinta,True,False,False,False
2025-01-24,2025,Janeiro,1,2025-01,Q1,4,24,4,Sexta,True,False,False,False
2025-01-25,2025,Janeiro,1,2025-01,Q1,4,25,5,Sábado,False,True,False,False
2025-01-26,2025,Janeiro,1,2025-01,Q1,4,26,6,Domingo,False,True,False,False
2025-01-27,2025,Janeiro,1,2025-01,Q1,5,27,0,Segunda,True,False,False,False
2025-01-28,2025,Janeiro,1,2025-01,Q1,5,28,1,Terça,True,False,False,False
2025-01-29,2025,Janeiro,1,2025-01,Q1,5,29,2,Quarta,True,False,False,False
2025-01-30,2025,Janeiro,1,2025-01,Q1,5,30,3,Quinta,True,False,False,False
