Hora,FaixaHoraria,Turno,Ponta,PeriodoDia
0,00:00,Madrugada,False,Madrugada
1,01:00,Madrugada,False,Madrugada
2,02:00,Madrugada,False,Madrugada
3,03:00,Madrugada,False,Madrugada
4,04:00,Madrugada,False,Madrugada
5,05:00,Madrugada,False,Madrugada
6,06:00,Manhã,False,Manhã
7,07:00,Manhã,False,Manhã
8,08:00,Manhã,False,Manhã
9,09:00,Manhã,False,Manhã
10,10:00,Manhã,False,Manhã
11,11:00,Manhã,False,Manhã
12,12:00,Manhã,False,Manhã
13,13:00,Manhã,False,Manhã
14,14:00,Tarde,False,Tarde
15,15:00,Tarde,False,Tarde
16,16:00,Tarde,False,Tarde
17,17:00,Tarde,False,Tarde
18,18:00,Tarde,True,Tarde
19,19:00,Tarde,True,Tarde
20,20:00,Tarde,True,Tarde
21,21:00,Tarde,False,Tarde
22,22:00,Noite,False,Noite
23,23:00,Noite,False,Noite
