MesAno,ID_Unidade,Consumo_kWh,Consumo_MWh,ImportacaoRede_kWh,GeracaoSolar_kWh,AutoconsumoSolar_kWh,ExportacaoRede_kWh,DemandaMaxima_kW,DemandaContratada_kW,DemandaFaturavel_kW,ExcessoDemanda_kW,UtilizacaoDemandaPercentual,CustoPonta_R,CustoForaPonta_R,CustoEnergia_R,CustoDemanda_R,CustoUltrapassagem_R,Impostos_R,OutrosCustos_R,CustoTotal_R,CustoMedio_R_kWh,EconomiaSolar_R,Emissao_tCO2e,EmissaoEvitadaSolar_tCO2e
2025-01,U001,609089.75,609.09,509575.14,99748.03,99514.61,233.41,1438.16,1280,1438.16,158.16,1.1236,113394.03,266426.52,379820.54,60402.76,13285.52,111109.66,9800,574418.49,0.9431,61699.06,19.6186,3.8313
2025-02,U001,575241.32,575.24,492190.19,83159.66,83051.13,108.53,1604.47,1280,1604.47,324.47,1.2535,110970.45,256706.03,367676.48,67387.66,27255.31,113268.26,9800,585387.71,1.0176,51491.7,18.9493,3.1975
2025-03,U001,653480.27,653.48,570089.6,83390.67,83390.67,0.0,1703.71,1280,1703.71,423.71,1.331,126963.18,298020.93,424984.1,71555.78,35591.56,130372.2,9800,672303.64,1.0288,51702.21,21.9484,3.2105
2025-04,U001,664900.68,664.9,592360.05,72540.64,72540.64,0.0,1661.8,1280,1661.8,381.81,1.2983,131045.98,310045.97,441091.95,69795.81,32071.62,133025.05,9800,685784.43,1.0314,44975.19,22.8059,2.7928
2025-05,U001,669895.85,669.9,598103.57,71792.28,71792.28,0.0,1678.59,1280,1678.59,398.59,1.3114,131345.21,313476.3,444821.51,70500.82,33481.64,134456.98,9800,693060.96,1.0346,44511.21,23.027,2.764
2025-06,U001,617581.67,617.58,546266.87,71314.8,71314.8,0.0,1613.78,1280,1613.78,333.78,1.2608,119223.34,286630.2,405853.54,67778.93,28037.86,122909.23,9800,634379.55,1.0272,44215.17,21.0313,2.7456
2025-07,U001,616821.8,616.82,537463.15,79358.65,79358.65,0.0,1522.54,1280,1522.54,242.54,1.1895,116637.55,282300.9,398938.45,63946.47,20372.94,118398.18,9800,611456.03,0.9913,49202.36,20.6923,3.0553
2025-08,U001,566832.73,566.83,480411.22,86545.45,86421.51,123.94,1379.46,1280,1379.46,99.46,1.0777,104053.42,252423.18,356476.6,57937.19,8354.39,103578.2,9800,536146.39,0.9459,53581.34,18.4959,3.3272
2025-09,U001,547871.81,547.87,455056.51,93186.26,92815.3,370.96,1272.95,1280,1272.95,0.0,0.9945,100160.05,238403.19,338563.24,53463.9,0.0,96046.65,9800,497873.78,0.9087,57545.48,17.5197,3.5734
2025-10,U001,560296.27,560.3,457956.48,103118.67,102339.78,778.88,1268.88,1280,1268.88,0.0,0.9913,103390.95,238790.49,342181.45,53293.04,0.0,96891.25,9800,502165.74,0.8963,63450.66,17.6313,3.9401
2025-11,U001,525581.89,525.58,424123.09,102678.31,101458.8,1219.51,1329.67,1280,1329.67,49.67,1.0388,95846.8,221107.72,316954.52,55846.01,4172.03,92358.28,9800,479130.83,0.9116,62904.46,16.3287,3.9061
2025-12,U001,584605.38,584.61,479031.97,106394.97,105573.41,821.56,1376.6,1280,1376.6,96.6,1.0755,108133.25,249786.71,357919.97,57817.37,8114.74,103843.76,9800,537495.83,0.9194,65455.51,18.4427,4.0646
2025-01,U002,420443.24,420.44,383400.13,37043.12,37043.12,0.0,963.57,720,963.57,243.57,1.3383,90237.6,183603.33,273840.93,37579.39,18998.77,78639.74,6200,415258.83,0.9877,21485.01,14.7609,1.4262
2025-02,U002,404372.55,404.37,373981.77,30390.78,30390.78,0.0,1055.3,720,1055.3,335.3,1.4657,89789.06,178333.39,268122.45,41156.82,26153.63,79833.03,6200,421465.93,1.0423,17626.65,14.3983,1.17
2025-03,U002,483500.43,483.5,453127.88,30372.55,30372.55,0.0,1307.53,720,1307.53,587.53,1.816,122149.32,210335.21,332484.52,50993.83,45827.65,102174.83,6200,537680.83,1.1121,17616.08,17.4454,1.1693
2025-04,U002,487045.69,487.05,460481.35,26564.34,26564.34,0.0,1215.42,720,1215.42,495.42,1.6881,113204.25,218443.28,331647.54,47401.5,38642.99,99410.7,6200,523302.73,1.0744,15407.32,17.7285,1.0227
2025-05,U002,487374.47,487.37,460560.46,26814.01,26814.01,0.0,1191.7,720,1191.7,471.7,1.6551,111729.71,219122.67,330852.38,46476.42,36792.83,98560.95,6200,518882.58,1.0646,15552.13,17.7316,1.0323
2025-06,U002,442333.23,442.33,416166.66,26166.56,26166.56,0.0,1120.02,720,1120.02,400.02,1.5556,100426.46,198230.48,298656.94,43680.9,31201.79,88902.43,6200,468642.07,1.0595,15176.61,16.0224,1.0074
2025-07,U002,428500.04,428.5,399571.54,28928.49,28928.49,0.0,982.96,720,982.96,262.96,1.3652,93759.62,191469.58,285229.21,38335.32,20510.65,81889.89,6200,432165.07,1.0086,16778.53,15.3835,1.1138
2025-08,U002,399714.38,399.71,367462.79,32251.59,32251.59,0.0,1427.92,720,1427.92,707.92,1.9832,93673.79,172883.38,266557.17,55688.84,55217.67,89836.36,6200,473500.04,1.1846,18705.92,14.1473,1.2417
