MesAno,ID_Unidade,Producao_Unidades,Producao_t,Area_m2,Funcionarios,ConsumoAnualReferencia_kWh,kWh_m2_Ano,kWh_Funcionario_Ano,kWh_UnidadeProduzida,kWh_t
2025-01,U001,14830.0,409.51,18500,420,7192199.42,388.77,17124.28,40.415,1463.578
2025-02,U001,15758.0,366.24,18500,420,7192199.42,388.77,17124.28,38.035,1636.495
2025-03,U001,16006.0,487.01,18500,420,7192199.42,388.77,17124.28,37.445,1230.673
2025-04,U001,16244.0,493.39,18500,420,7192199.42,388.77,17124.28,36.897,1214.759
2025-05,U001,16663.0,413.45,18500,420,7192199.42,388.77,17124.28,35.969,1449.631
2025-06,U001,17226.0,466.83,18500,420,7192199.42,388.77,17124.28,34.793,1283.872
2025-07,U001,15689.0,392.71,18500,420,7192199.42,388.77,17124.28,38.202,1526.19
2025-08,U001,15330.0,567.23,18500,420,7192199.42,388.77,17124.28,39.097,1056.626
2025-09,U001,15288.0,603.0,18500,420,7192199.42,388.77,17124.28,39.204,993.947
2025-10,U001,14417.0,410.99,18500,420,7192199.42,388.77,17124.28,41.572,1458.308
2025-11,U001,15319.0,553.35,18500,420,7192199.42,388.77,17124.28,39.125,1083.13
2025-12,U001,14028.0,573.26,18500,420,7192199.42,388.77,17124.28,42.725,1045.512
2025-01,U002,9238.0,342.51,24000,210,5075979.6,211.5,24171.33,45.789,1234.995
2025-02,U002,9705.0,270.36,24000,210,5075979.6,211.5,24171.33,43.586,1564.574
2025-03,U002,9613.0,374.06,24000,210,5075979.6,211.5,24171.33,44.003,1130.83
2025-04,U002,10543.0,293.93,24000,210,5075979.6,211.5,24171.33,40.121,1439.112
2025-05,U002,11463.0,345.79,24000,210,5075979.6,211.5,24171.33,36.901,1223.281
2025-06,U002,10418.0,394.56,24000,210,5075979.6,211.5,24171.33,40.603,1072.076
2025-07,U002,10720.0,364.14,24000,210,5075979.6,211.5,24171.33,39.459,1161.636
2025-08,U002,9755.0,260.2,24000,210,5075979.6,211.5,24171.33,43.362,1625.666
2025-09,U002,9778.0,280.69,24000,210,5075979.6,211.5,24171.33,43.26,1506.995
2025-10,U002,8859.0,273.01,24000,210,5075979.6,211.5,24171.33,47.748,1549.388
2025-11,U002,9136.0,172.43,24000,210,5075979.6,211.5,24171.33,46.3,2453.16
2025-12,U002,9429.0,247.37,24000,210,5075979.6,211.5,24171.33,44.861,1709.982
2025-01,U003,20906.0,392.23,31000,510,21483443.89,693.01,42124.4,85.635,4564.381
2025-02,U003,22174.0,830.3,31000,510,21483443.89,693.01,42124.4,80.738,2156.193
2025-03,U003,22671.0,766.38,31000,510,21483443.89,693.01,42124.4,78.968,2336.03
2025-04,U003,23588.0,446.43,31000,510,21483443.89,693.01,42124.4,75.898,4010.23
2025-05,U003,22674.0,541.66,31000,510,21483443.89,693.01,42124.4,78.958,3305.186
